lake,learner,k,rep,label_only_log_mae,calibrated_log_mae,source_only_log_mae,paired_delta_mae,rer_log,rer_reconstruction_denominator,reconstructed_rer
Lake Jasień Południowy,PLSR,1,75,0.2493652043895085,0.2253972026503589,,0.02396800173914959,0.0961160593221778,0.9038839406778222,0.09611605932217783
Lake Jasień Południowy,XGBoost,1,75,0.24936520438950846,0.1771729197883185,,0.07219228460118995,0.2895042308845274,0.7104957691154725,0.2895042308845275
Lake Jasień Południowy,MLP,1,75,0.24936520438950852,0.2362757703919008,,0.013089433997607702,0.0524910181624691,0.9475089818375309,0.05249101816246914
Lake Jasień Południowy,PLSR,3,75,0.21211092567204085,0.2089448863950813,,0.003166039276959548,0.0149263368573074,0.9850736631426926,0.014926336857307428
Lake Jasień Południowy,XGBoost,3,75,0.21211092567204085,0.1371435507712729,,0.07496737490076794,0.3534347470734847,0.6465652529265153,0.3534347470734847
Lake Jasień Południowy,MLP,3,75,0.2121109256720407,0.1154376609510688,,0.0966732647209719,0.4557674709919015,0.5442325290080985,0.4557674709919015
Lake Jasień Południowy,PLSR,5,75,0.1847884438367043,0.1981027409448669,,-0.013314297108162593,-0.0720515640004667,1.0720515640004666,-0.07205156400046674
Lake Jasień Południowy,XGBoost,5,75,0.18478844383670423,0.1543831192938749,,0.03040532454282932,0.1645412573758435,0.8354587426241565,0.16454125737584346
Lake Jasień Południowy,MLP,5,75,0.1847884438367042,0.1332950719633676,,0.05149337187333661,0.2786611977328455,0.7213388022671545,0.2786611977328454
Lake Jasień Południowy,PLSR,10,75,0.25031305458486947,0.2063699598403883,,0.04394309474448116,0.1755525418433847,0.8244474581566152,0.17555254184338473
Lake Jasień Południowy,XGBoost,10,75,0.2503130545848695,0.1411584383905343,,0.10915461619433522,0.4360723894909847,0.5639276105090153,0.4360723894909847
Lake Jasień Południowy,MLP,10,75,0.25031305458486947,0.145452547920484,,0.10486050666438546,0.4189174338075036,0.5810825661924963,0.41891743380750374
Lake Jasień Południowy,PLSR,1,76,0.20081830340995824,0.2069629978571328,,-0.0061446944471745535,-0.0305982773325587,1.0305982773325586,-0.030598277332558498
Lake Jasień Południowy,XGBoost,1,76,0.20081830340995827,0.1700440001060443,,0.030774303303913952,0.1532445063468395,0.8467554936531605,0.1532445063468395
