lake,learner,k,variant,delta_spearman_lake,delta_r2_log_lake,mae_log_lake,rer_log_lake,delta_spearman_lake_altmean,delta_r2_log_lake_altmean
Dianchi,MLP,10,source_only,0.0,0.0,0.5242089528778946,-3.9747230461944696,0.0,0.0
Dianchi,PLSR,5,affine_only,0.0,3.1611337865018125,0.21738404935505812,-0.9585904366234086,0.0,3.1583279544028215
Dianchi,PLSR,5,full,-0.19869488621730974,4.4551641718540615,0.20251696113258205,-0.8430363705896833,-0.22396491374116487,0.4587979409232292
Dianchi,PLSR,5,full_minus_affine,-0.1990879747119858,3.817809333983454,0.21062744790909477,-0.9250522251621176,-0.22467549452298863,-0.04654915707158012
Dianchi,PLSR,5,full_minus_repr0,0.0,3.1611337865018125,0.21738404935505812,-0.9585904366234086,0.0,3.1583279544028215
Dianchi,PLSR,5,intercept_only,0.0,0.0,0.2775020525279148,-1.5955557034715377,0.0,-4.4408920985006264e-17
Dianchi,PLSR,5,repr_only,-0.1990879747119858,3.817809333983454,0.21062744790909477,-0.9250522251621176,-0.22467549452298863,-0.04654915707158012
Dianchi,PLSR,5,source_only,0.0,0.0,0.26969383182073725,-1.4348690657570233,0.0,0.0
Dianchi,PLSR,10,affine_only,0.0,5.061220787820419,0.16120891830473771,-0.44948351238533174,0.0,5.019619861475777
Dianchi,PLSR,10,full,-0.25857921918378785,5.016379796490219,0.18334951986505343,-0.7034212161671802,-0.24525629646188793,4.712639549787528
Dianchi,PLSR,10,full_minus_affine,-0.2645124736502559,4.089582672248637,0.2043492224693857,-0.8743274661532899,-0.2706806613117413,3.8486687729177094
