lake,learner,k,rep,method,mae_log,mae_orig,rer_log,demeaned_spearman,anomaly_r2
Lake Erie,XGBoost,10,5,calibrated,0.1947626798369256,6.776641319761188,0.3988615796455148,0.8422745202225163,-0.941558010421098
Lake Erie,MLP,10,5,calibrated,0.1978984864238777,228.53440637662945,0.3891828582240972,0.841652410812184,-94198.64719030076
Lake Erie,PLSR,0,6,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,6,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,6,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,6,calibrated,0.4628232967865909,438.5891887853777,-0.3508896624987647,0.731926700211466,-117461.6788582128
Lake Erie,XGBoost,1,6,calibrated,0.3033349412922262,11.260467446138083,0.1146252922734038,0.7848458636688912,-0.8943230191160776
Lake Erie,MLP,1,6,calibrated,0.3021011251460334,232.18059262049871,0.1182265574924963,0.8061287549554993,-86907.32395234896
Lake Erie,PLSR,3,6,calibrated,0.5483674751250533,105.15757898381652,-0.1031984723655823,0.728082114907101,-12755.543653947454
Lake Erie,XGBoost,3,6,calibrated,0.3447818842433975,8.145053330345261,0.3063723336151349,0.7822288475578939,0.3214033117598514
Lake Erie,MLP,3,6,calibrated,0.2479850139138282,233.19870423782012,0.50110700037423,0.8036050510163643,-93414.85245025008
Lake Erie,PLSR,5,6,calibrated,0.2776494222632405,16.3234801293074,0.1441967452026562,0.6492539311297351,-134.00809041147448
Lake Erie,XGBoost,5,6,calibrated,0.2865410953819927,12.94456584508529,0.116789799927841,0.7364503764090634,-8.17314839321516
Lake Erie,MLP,5,6,calibrated,0.2669825229448194,350.5065908410467,0.1770754983875188,0.773338100974665,-115550.85074499388
Lake Erie,PLSR,10,6,calibrated,0.3619631807348517,645.1606131232238,-0.1259552661425081,0.5787212065253231,-288460.65295517736
Lake Erie,XGBoost,10,6,calibrated,0.2718214067569257,394.6058832773828,0.1544478458529928,0.7659585609131949,-134650.11836848367
Lake Erie,MLP,10,6,calibrated,0.2539443340750651,784.7043731104276,0.2100578764986178,0.8189554820617353,-377598.1115946559
Lake Erie,PLSR,0,7,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,7,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,7,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,7,calibrated,0.3507074168557393,280.247346818712,0.2662469742878435,0.730105085743238,-94992.32663858752
Lake Erie,XGBoost,1,7,calibrated,0.2340706293947525,6.875690355429224,0.5102754411958126,0.7833648373132309,0.3227717176415644
Lake Erie,MLP,1,7,calibrated,0.2006720411674585,130.88073834794943,0.5801522481571088,0.8043243067530876,-27558.350523503326
Lake Erie,PLSR,3,7,calibrated,0.3634723367613278,607.4827782769098,0.1239785917205667,0.7293593723347235,-198444.4903396584
Lake Erie,XGBoost,3,7,calibrated,0.2220940081785891,8.329991173856033,0.4647209992483914,0.7828358568439009,-0.6164825280556914
Lake Erie,MLP,3,7,calibrated,0.220415480405419,257.8252041723178,0.4687664961803882,0.8035211671673103,-96009.0194737671
Lake Erie,PLSR,5,7,calibrated,0.2786438606082508,12.461828096237747,0.2862655681600137,0.5344677863499923,-40.9672410046332
Lake Erie,XGBoost,5,7,calibrated,0.199208675072201,5.961564601331495,0.489735419813006,0.809706513464806,0.328685256956984
Lake Erie,MLP,5,7,calibrated,0.2010204777405097,102.34087122610757,0.4850945642820782,0.8030390570939748,-16500.013609170546
Lake Erie,PLSR,10,7,calibrated,0.3697724150906233,16.250121648712614,-0.1634439276139081,0.4469196594617485,-5.38981002580069
Lake Erie,XGBoost,10,7,calibrated,0.2041409826834231,19.678929240918723,0.3576952141404378,0.8506937874678075,-231.28381396346956
Lake Erie,MLP,10,7,calibrated,0.2153361216395733,638.0742222345559,0.3224710720640381,0.8459797169585458,-280847.0420319538
Lake Erie,PLSR,0,8,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,8,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,8,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,8,calibrated,0.3576557128194399,276.0249503914783,0.3962388456517203,0.7297574895926607,-94692.50588899566
Lake Erie,XGBoost,1,8,calibrated,0.2183612097976923,7.400272937283741,0.6313828810268731,0.7830331633723907,-0.0407102659189684
