lake,learner,k,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace,delta_anomaly_r2_origspace
Lake Chotkowskie,MLP,10,0.9020979020979022,0.9055944055944056,0.0,0.7344040201391393,0.7216231448389638,0.04143320828995306,-0.07431131580521472
Lake Chotkowskie,PLSR,1,0.8668831168831168,0.8668831168831168,0.0,0.278525707980995,0.278525707980995,0.0,0.0014234127714192746
Lake Chotkowskie,PLSR,3,0.8614035087719297,0.8614035087719297,0.0,0.28296084340442945,0.27905141177442416,0.0038996529680687675,-0.03644179474788911
Lake Chotkowskie,PLSR,5,0.8002450980392157,0.8578431372549021,-0.06127450980392152,0.4665324447255768,0.2849224718235703,0.20709716720288418,-2.0328797681166906
Lake Chotkowskie,PLSR,10,0.8811188811188813,0.8391608391608393,0.020979020979020935,0.5747512300343802,0.29059155765635436,0.32791768380276864,-1.3678834958917707
Lake Chotkowskie,XGBoost,1,0.9194805194805193,0.9194805194805193,0.0,0.8094499151012542,0.8094499151012542,0.0,-0.06040248862541664
Lake Chotkowskie,XGBoost,3,0.9149122807017543,0.9149122807017543,0.0,0.816104553029223,0.8082530623251957,0.006385080305497393,-0.0233479284534161
Lake Chotkowskie,XGBoost,5,0.9093137254901962,0.911764705882353,0.0,0.7935748092502869,0.8080104542213828,-0.008418181777451406,-0.13131440268643568
Lake Chotkowskie,XGBoost,10,0.9020979020979022,0.9090909090909092,-0.006993006993006867,0.8232467433678219,0.8097042108743968,0.02609645887576978,-0.034181024302938345
Lake Erie,MLP,1,0.8050092573449263,0.8050092573449263,0.0,0.38042259658382305,0.380422596583823,0.0,31531.740963332584
Lake Erie,MLP,3,0.8045657011510015,0.8045657011510015,0.0,0.38532916371382403,0.3796074645135771,0.006210260937253853,39723.26730179526
Lake Erie,MLP,5,0.7746642497232624,0.8051509697710201,-0.03110720166583114,0.29976579878111514,0.37902955233581237,-0.08542221601479177,47233.66668988728
Lake Erie,MLP,10,0.8358282695958034,0.8048152277564755,0.029959984882303115,-0.021489310696957697,0.37641555846087654,-0.4366509359088088,-188215.23812926054
Lake Erie,PLSR,1,0.731044876600071,0.731044876600071,0.0,-0.5226206007089984,-0.5226206007089986,0.0,5667.880020157485
Lake Erie,PLSR,3,0.7308027121205611,0.7308027121205611,0.0,-0.39549030390522555,-0.5234730832094712,0.13457970875883485,43332.3226654046
