lake,learner,k,method,median_rer_log,median_mae_log,median_demeaned_spearman
Lake Peipsi,XGBoost,0,source_only,,0.1651237658254144,0.7000348283667843
Lake Peipsi,XGBoost,1,calibrated,0.30611086593627496,0.1778314477195045,0.6976191765183267
Lake Peipsi,XGBoost,3,calibrated,0.30964329590945283,0.1647285114882318,0.6982474015504896
Lake Peipsi,XGBoost,5,calibrated,0.2728182226308653,0.1697777024239578,0.6695964269738366
Lake Peipsi,XGBoost,10,calibrated,0.2091470643864594,0.1807946479298761,0.6446878413830799
Lake Winnipeg,MLP,0,source_only,,0.3051441221730578,0.6961362367490718
Lake Winnipeg,MLP,1,calibrated,0.3556953543178685,0.2792210694397936,0.70009514120775
Lake Winnipeg,MLP,3,calibrated,0.36480080962411776,0.24142815916016935,0.6979457888310576
Lake Winnipeg,MLP,5,calibrated,0.31310285527356163,0.25600113316274875,0.6677142462432608
Lake Winnipeg,MLP,10,calibrated,0.3973498194592887,0.2110566988639913,0.7996358308005052
Lake Winnipeg,PLSR,0,source_only,,0.29331619508151,0.6649757900771393
Lake Winnipeg,PLSR,1,calibrated,0.126146348665472,0.35401906341131584,0.6697910430882279
Lake Winnipeg,PLSR,3,calibrated,0.1539342260713703,0.3162846129721344,0.6667341925324707
Lake Winnipeg,PLSR,5,calibrated,0.09790469465357715,0.32288496112889586,0.6389136458081809
Lake Winnipeg,PLSR,10,calibrated,0.18832361608022097,0.2870718511846734,0.7511467457733145
Lake Winnipeg,XGBoost,0,source_only,,0.2353066738573475,0.7585230084157104
Lake Winnipeg,XGBoost,1,calibrated,0.40288232148436853,0.23791540402722616,0.7586595726898963
Lake Winnipeg,XGBoost,3,calibrated,0.4184107693145141,0.22085810417186624,0.7598962771117199
