lake,learner,k,method,median_rer_log,median_mae_log,median_demeaned_spearman
Lake Kummerow,MLP,3,calibrated,0.1094790031700493,0.29769786875413057,0.4892410370067226
Lake Kummerow,MLP,5,calibrated,-0.0026545751847756,0.33239871814133,0.3995456130264196
Lake Kummerow,MLP,10,calibrated,-0.054227006705987055,0.35059549880878227,0.25891770769207056
Lake Kummerow,PLSR,0,source_only,,0.5535424474255423,0.4993158004678443
Lake Kummerow,PLSR,1,calibrated,0.0680037264054574,0.35846912821765575,0.4950916633820824
Lake Kummerow,PLSR,3,calibrated,0.07913781168244624,0.30885996593789655,0.4816927622699469
Lake Kummerow,PLSR,5,calibrated,-0.0550025905690853,0.3432271682992679,0.37524390904030513
Lake Kummerow,PLSR,10,calibrated,-0.054210177853967756,0.35426109955337354,0.04269092796834015
Lake Kummerow,XGBoost,0,source_only,,0.4388004175293467,0.5157429138485548
Lake Kummerow,XGBoost,1,calibrated,0.1683916383863109,0.3016719642526067,0.5086641822863328
Lake Kummerow,XGBoost,3,calibrated,0.18523994312153225,0.27308963655015583,0.49239588450893956
Lake Kummerow,XGBoost,5,calibrated,0.11876210218265351,0.2928987241404199,0.42543625767024446
Lake Kummerow,XGBoost,10,calibrated,0.098175159208462,0.3006354853866427,0.37375233711445033
Lake Obłęże,MLP,0,source_only,,0.2018604939547537,0.7819548872180451
Lake Obłęże,MLP,1,calibrated,0.3734824619665133,0.1852640597414781,0.7894736842105263
Lake Obłęże,MLP,3,calibrated,0.3541841080676056,0.16845676540340354,0.7732843137254903
Lake Obłęże,MLP,5,calibrated,0.3147613373505517,0.17169755196669867,0.7660714285714285
Lake Obłęże,MLP,10,calibrated,0.2779079304704569,0.16849993834082627,0.7454545454545454
Lake Obłęże,PLSR,0,source_only,,0.2282681349072228,0.7157894736842104
Lake Obłęże,PLSR,1,calibrated,0.2694484320276304,0.17469613117789945,0.7070175438596492
Lake Obłęże,PLSR,3,calibrated,0.27799580976615484,0.1847929444847519,0.7132352941176472
Lake Obłęże,PLSR,5,calibrated,0.22136234411306727,0.20155576218017524,0.7124999999999999
Lake Obłęże,PLSR,10,calibrated,0.24520646639139085,0.1882003028083527,0.709090909090909
Lake Obłęże,XGBoost,0,source_only,,0.1795570702941359,0.8150375939849623
Lake Obłęże,XGBoost,1,calibrated,0.4401001291373169,0.1567319082792985,0.8175438596491227
Lake Obłęże,XGBoost,3,calibrated,0.4837909191728474,0.13163592573988908,0.8149509803921569
Lake Obłęże,XGBoost,5,calibrated,0.3674291402356248,0.1474179387213747,0.7839285714285713
Lake Obłęże,XGBoost,10,calibrated,0.34700551295274695,0.14863761745041448,0.7757575757575756
Lake Peipsi,MLP,0,source_only,,0.1771334992622636,0.6049222861432264
Lake Peipsi,MLP,1,calibrated,0.2182251310500193,0.1986311336648432,0.6018655132518183
Lake Peipsi,MLP,3,calibrated,0.1967957554432955,0.1921621224383983,0.6008737889609825
Lake Peipsi,MLP,5,calibrated,0.1672668405442497,0.19635981992472168,0.5562458551497309
Lake Peipsi,MLP,10,calibrated,0.07668685179601789,0.21476652755055287,0.4717845043395861
Lake Peipsi,PLSR,0,source_only,,0.2495045307403537,0.4827913235777016
Lake Peipsi,PLSR,1,calibrated,0.09717428630517075,0.2359720903043897,0.4806777026308936
Lake Peipsi,PLSR,3,calibrated,0.09803124200882066,0.21169830663379463,0.48598743906450614
Lake Peipsi,PLSR,5,calibrated,0.07435299551360139,0.22238754951245682,0.46165091919895035
Lake Peipsi,PLSR,10,calibrated,0.1042722341057373,0.20833032164497378,0.49569770370358085
